Average number of packets,The percentage of packet loss,Ro value
1.2551463531669866,1.0559155267578593,0.5
1.58249454705541,2.150365722051241,0.6
1.9951336122257322,4.180075316672373,0.7
2.3847818897874515,7.013069330838189,0.8
2.7716579536967885,10.479504507530464,0.9
3.1918786710334874,14.92060835047109,1.0
3.510365946854735,18.53000822143053,1.1
3.828440265819359,23.440677966101696,1.2000000000000002
4.096710265556877,27.695772983651352,1.3
4.323317899714314,31.863360938047503,1.4
4.512628098117367,35.90942398368803,1.5
